Job Title,Company Name,Location,Years of Experience,Min_Experience,Experience_Level,Salary,Salary_Min_LPA,Salary_Max_LPA,Skills,Industry,Function,Employment Type,Skill_Python,Skill_SQL,Skill_Excel,Skill_Power_BI,Skill_Tableau,Skill_Machine_Learning,Skill_Statistics
Data Analyst,RELIANCE INDUSTRIES LIMITED\n \t\...,"Pune (Maharashtra), Tri...",card_travel\n\t\t\t\n\t\t\t \n\t\t\t 2 to ...,2.0,1–2 Years,₹\n Rs 8.10 - 19.00 Lacs p.a.,8.1,19.0,", Key Skills, , Data Analyst \nBusiness analys...",Accounting-Tax/Consulting,Job Function:\nFront Office Staff/Secretarial/...,Employment Type:\n \t\t \tFull Time,0,0,0,0,0,0,0
Data Analyst,Jayant Govind kasar,"Ropar (Punjab), Coimbat...",card_travel\n\t\t\t\n\t\t\t \n\t\t\t 1 to ...,1.0,1–2 Years,₹\n Rs 3.10 - 9.55 Lacs p.a.,3.1,9.55,", Key Skills, , Advanced analytical knowledge ...","Construction/Cement/Metal/Steel/Iron, Project...","Job Function:\nAdministration,Sales/Business D...",Employment Type:\n \t\t \tFull Time,0,0,0,0,0,0,0
Data Analyst,Ajay Vijay Chatur,"Mumbai (Maharashtra), A...",card_travel\n\t\t\t\n\t\t\t \n\t\t\t 4 to ...,4.0,3–5 Years,₹\n Rs 11.15 - 20.05 Lacs p.a.,11.15,20.05,", Key Skills, , Data Analyst \nAdvanced analyt...",Manufacturing/Industrial,Job Function:\nAccounting/Tax/Company Secretar...,Employment Type:\n \t\t \tFull Time,0,0,0,0,0,0,0
Data Analyst,Jayant Govind kasar,Bengaluru/ Bangalore (K...,card_travel\n\t\t\t\n\t\t\t \n\t\t\t 2 to ...,2.0,1–2 Years,₹\n As per Industry Standards,,,", Key Skills, , Data Management \nData Analyst...","Engineering/Projects, Projects/Infrastructure...",Job Function:\nAccounting/Tax/Company Secretar...,Any Graduate,0,0,0,0,0,0,0
Data Analyst,HR Empower Consultancy,"Sonepat (Haryana), Yamu...",card_travel\n\t\t\t\n\t\t\t \n\t\t\t 0 to ...,0.0,Fresher / 0 Years,₹\n As per Industry Standards,,,", Key Skills, , SQL \nframeworks \nXML \nJavaS...",IT-Software,Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tPart Time,0,1,0,0,0,0,0
Data Analyst,NIRVANA DIGITAL STUDIOS PRIVATE LIMITED,Mumbai (Maharashtra),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 2 to ...,2.0,1–2 Years,₹\n Rs 25.00 - 42.00 Lacs p.a.,25.0,42.0,", Key Skills, , sql \npython \nTableau \nMicro...","Engineering/Projects, IT-Software",Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,1,1,0,0,1,0,0
Data Analyst,Prashant Pandey,"Mumbai (Maharashtra), P...",card_travel\n\t\t\t\n\t\t\t \n\t\t\t 1 to ...,1.0,1–2 Years,₹\n As per Industry Standards,,,", Key Skills, , Data Analysis \nsql \nBusiness...",Educational/Training,Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,1,0,0,0,0,0
Lead Data Analyst,Arting Digital Private Limited,Bengaluru/ Bangalore (K...,card_travel\n\t\t\t\n\t\t\t \n\t\t\t 10 to...,10.0,6+ Years,₹\n As per Industry Standards,,,", Key Skills, , Data Analyst \nPower BI,",IT-Software,Job Function:\nIT Software : Software Products...,BE/ B.Tech (Engineering)\n ...,0,0,0,1,0,0,0
directions_walk\n \n Data Analyst Internship...,Maxgen Technologies\n \t\t\t\n ...,"Pune (Maharashtra), Jal...",card_travel\n\t\t\t\n\t\t\t \n\t\t\t 0 to ...,0.0,Fresher / 0 Years,₹\n As per Industry Standards,,,", Key Skills, , internship \ndata analyst,",IT-Software,Job Function:\nIT Software : Software Products...,Any Graduate,0,0,0,0,0,0,0
Data Analyst Internship in Ahmedabad,Maxgen Technologies\n \t\t\t\n ...,"Ahmedabad (Gujarat), Bh...",card_travel\n\t\t\t\n\t\t\t \n\t\t\t 0 to ...,0.0,Fresher / 0 Years,₹\n As per Industry Standards,,,", Key Skills, , data analyst,",IT Software : Software Products & Services,Hiring Location: Pune,Qualification:\n\n\n\n Any ...,0,0,0,0,0,0,0
